Nama Pengguna,Rating,Tanggal,Ulasan,Sentimen,Ulasan_Bersih
Pengguna Google,5,2026-06-06 07:15:33,bagus,Positif,bagus
Pengguna Google,1,2026-06-05 22:56:01,aplikasi buruk,Negatif,aplikasi buruk
Pengguna Google,5,2026-06-05 22:25:31,mudah mudahan berjalan dengan lancar,Positif,mudah mudah jalan lancar
Pengguna Google,5,2026-06-05 21:32:51,membantu,Positif,bantu
Pengguna Google,1,2026-06-05 20:27:38,"Jujur sy sgt kecewa dg pelayanan yang diberikan pertamina di SPBU manapun. Sy ingin membeli solar cuma 3 liter dg jerigen mengolesi kayu agar tdk cpt rusak, masa sy harus pakai surat ijin. Ini namanya menyusahkan rakyat kecil. Pertamina adl perusahan penyedia BBM u/ rakyat Indonesia, mka harus benar"" adil. Perhatikan kebutuhan rakyat yg sampai di bawah. Sy hrap, ubah aturan seperti itu. Klw tdk bs, di apl ini diberikan cara untuk membeli dg jml yg dibutuhkan dan diacc cepat. Terima Kasih",Negatif,jujur sy sgt kecewa dg layan beri pertamina spbu mana sy ingin beli solar cuma liter dg jerigen oles kayu agar tidak cpt rusak masa sy harus pakai surat ijin nama susah rakyat kecil pertamina adl usah sedia bbm u rakyat indonesia mka harus benar adil perhati butuh rakyat sampai bawah sy hrap ubah atur seperti klw tidak bs apl beri cara beli dg jml butuh diacc cepat terima kasih
Pengguna Google,5,2026-06-05 18:39:24,"Mutasi kendaraan dan daftarkan barcode baru, sempat gagal sampai 4x. Alhamdulillah yg ke 5 berhasil hanya dalam waktu 3 menit. Kendalanya hanya di foto kendaraan. Percobaan pertama sampai ke 4 saya ambil dari sisi kanan depan. Untuk yg ke 5 kalinya saya ambil dari sisi kiri depan kendaraan. Bagi yg sering gagal / ditolak terus coba kembali dan usahakan chat wa CS yg ada di aplikasi My Pertamina. Minta diarahkan agar sesuai dengan yg dibutuhkan sistem My Pertamina. Terima kasih My Pertamina. 🙏🙏",Positif,mutasi kendara daftar barcode baru sempat gagal sampai x alhamdulillah hasil hanya dalam waktu menit kendala hanya foto kendara coba pertama sampai saya ambil sisi kanan depan kali saya ambil sisi kiri depan kendara bagi sering gagal tolak terus coba kembali usaha chat wa cs ada aplikasi my pertamina minta arah agar sesuai butuh sistem my pertamina terima kasih my pertamina
Pengguna Google,5,2026-06-05 15:45:03,ok,Positif,ok
Pengguna Google,5,2026-06-05 15:24:21,klo saldo ada lbh praktis tinggal klik🤭,Positif,klo saldo ada lbh praktis tinggal klik
Pengguna Google,1,2026-06-05 14:53:19,aplikasi yang menyusahkan. akun mypertamina saya terblokir dan tidak ada penyelesaian hingga saat ini. saya juga melakukan transaksi tetapi gagal dan saldo mypertamina berkurang. sangat sangat tidak puas.,Negatif,aplikasi susah akun mypertamina saya blokir tidak ada selesai hingga saat saya juga laku transaksi tetapi gagal saldo mypertamina kurang sangat sangat tidak puas
Pengguna Google,5,2026-06-05 14:24:01,hilangkan pengisian pakai barkot untuk solar,Positif,hilang isi pakai barkot solar
Pengguna Google,5,2026-06-05 14:16:49,sangat membantu,Positif,sangat bantu
Pengguna Google,5,2026-06-05 13:38:31,good job to apk,Positif,good job to aplikasi
Pengguna Google,2,2026-06-05 12:01:25,"setelah di perbaharui malah selalu gagal ambil barcode di apk selalu muncul ""apk my pertamina di tutup karena memiliki bug, update kembali setelah pengembangan melakukan perbaikan pada apk""",Negatif,telah baharu malah selalu gagal ambil barcode aplikasi selalu muncul aplikasi my pertamina tutup karena milik bug update kembali telah kembang laku baik aplikasi
Pengguna Google,4,2026-06-05 11:47:00,"sekarang aplikasinya udah lancar, cman dsruh update lgi,,entah knapa grangan",Positif,sekarang aplikasi udah lancar cman dsruh update lgientah knapa grangan
Pengguna Google,1,2026-06-05 10:58:09,sangat sangat kecewa pembayaran via my Pertamina ini saldo sudah terpotong tapi d aplikasi tertuliskan gagal harus bayar 2x rugi proses pengembalian saldo nya berbelit,Negatif,sangat sangat kecewa bayar via my pertamina saldo sudah potong tapi d aplikasi tulis gagal harus bayar x rugi proses kembali saldo nya belit
Pengguna Google,1,2026-06-05 10:47:48,"ga jelas, katanya sesuai akun",Negatif,tidak jelas kata sesuai akun
Pengguna Google,5,2026-06-05 10:30:01,selamat,Positif,selamat
Pengguna Google,5,2026-06-05 09:11:24,mantap,Positif,mantap
Pengguna Google,5,2026-06-05 09:09:39,"subsidi tepat sasaran , sekedar saran lengkapi dng pencatatan km . bagi pemilik bisa mengetahui efisiensi bbm dan kontrol kewajaran tanki isi ulang 😁",Positif,subsidi tepat sasar dar saran lengkap dng catat km bagi milik bisa tahu efisiensi bbm kontrol wajar tank isi ulang
Pengguna Google,1,2026-06-05 09:03:11,QR kode aplikasi eror gada solusi,Negatif,qr kode aplikasi eror gada solusi
Pengguna Google,5,2026-06-05 08:23:46,"My pertamina saya ingin bertanya. Saya hendak mengisi pertamax di SPBU simpang Selayang kota medan menggunakan my pertamina. Saya sudah antri di antrian pengisian pertamax.setelah giliran saya, malah disuruh ke pompa yang lain yang antrian pertalite panjang lagi. Memang ada pompa pertamax disitu. Tapi saya kan jadi antri kembali. Kenapa alat utk my pertamina tidak dibuatkan ke pompa yang pertamax saja yang notabene pengguna my pertamina kebanyakan pengguna pertamax? Mohon arahannya my pertamina",Positif,my pertamina saya ingin tanya saya hendak isi pertamax spbu simpang layang kota medan guna my pertamina saya sudah antri antri isi pertamaxsetelah gilir saya malah suruh pompa lain antri pertalite panjang lagi memang ada pompa pertamax situ tapi saya kan jadi antri kembali kenapa alat utk my pertamina tidak buat pompa pertamax saja notabene guna my pertamina banyak guna pertamax mohon arah my pertamina
Pengguna Google,4,2026-06-05 07:32:35,mantp,Positif,mantp
Pengguna Google,5,2026-06-05 07:05:22,ok banget,Positif,ok banget
Pengguna Google,1,2026-06-05 06:45:31,ribet,Negatif,ribet
Pengguna Google,1,2026-06-05 02:09:54,habis di update malah force close mulu aplikasinya,Negatif,habis update malah force close mulu aplikasi
Pengguna Google,5,2026-06-05 02:00:06,kenapa apk my pertamina tdk mendapat berkode??,Positif,kenapa aplikasi my pertamina tidak dapat kode
Pengguna Google,5,2026-06-05 00:14:22,sangat memuaskan,Positif,sangat muas
Pengguna Google,1,2026-06-04 21:00:38,lemot loading nya lama,Negatif,lot loading nya lama
Pengguna Google,1,2026-06-04 20:50:08,coba dong di tegur untuk kariawan SPBU ya yang bagian motor.tidak sopan sama sekali.masa orang isi bensin ada lebih ya 2ribu tapi uang ya tidak di kembalikan oleh kariawan SPBU ya kariawan ya tidak jujur kode SPBU ya 34.151.29.,Negatif,coba dong tegur kariawan spbu ya bagi motortidak sopan sama sekalimasa orang isi bensin ada lebih ya ribu tapi uang ya tidak kembali oleh kariawan spbu ya kariawan ya tidak jujur kode spbu ya
Pengguna Google,4,2026-06-04 20:41:31,bintang 4 dlu tolong tambahin shopeepay atau seabank dong buat pembayaran🙏,Positif,bintang dlu tolong tambahin shopeepay atau seabank dong buat bayar
Pengguna Google,5,2026-06-04 19:57:29,my pertamina yg subsidi jangan di up date terus ya,Positif,my pertamina subsidi jangan up date terus ya
Pengguna Google,5,2026-06-04 19:28:35,semoga diadain pembayaran via SHOPEEPAY,Positif,moga diadain bayar via shopeepay
Pengguna Google,5,2026-06-04 18:33:31,good,Positif,good
Pengguna Google,5,2026-06-04 18:19:38,mudah2 bisa bikin barcode nya,Positif,mudah bisa bikin barcode nya
Pengguna Google,5,2026-06-04 17:17:54,sangat puas,Positif,sangat puas
Pengguna Google,1,2026-06-04 17:14:19,aplikasi macam apa ini bukannya menpermudah malah mempersulit. masa verifikasi 14 hari terus kalo butuh solarnya sekarang gimana ? terus yang berwenang kerjanya apa? negara bukan ya maju malah mundur anjeng,Negatif,aplikasi macam apa bukan menpermudah malah sulit masa verifikasi hari terus kalo butuh solar sekarang gimana terus wenang kerja apa negara bukan ya maju malah mundur anjeng
Pengguna Google,5,2026-06-04 16:16:26,Ribed,Positif,ribed
Pengguna Google,5,2026-06-04 15:22:09,"good job, tapi voucher untuk tuker point sering habis",Positif,good job tapi voucher tuker point sering habis
Pengguna Google,5,2026-06-04 14:52:18,is the best,Positif,is the best
Pengguna Google,5,2026-06-04 14:52:09,bagus cepet dan tepat sasaran,Positif,bagus cepet tepat sasar
Pengguna Google,5,2026-06-04 14:31:25,oke,Positif,oke
Pengguna Google,5,2026-06-04 14:13:12,mantul,Positif,mantul
Pengguna Google,2,2026-06-04 13:42:57,"lagi mau bayar, malah loading lama app-nya. bikin malu aja.",Negatif,lagi mau bayar malah loading lama appnya bikin malu aja
Pengguna Google,5,2026-06-04 12:47:06,keren banget pertamina 👍👍👍,Positif,keren banget pertamina
Pengguna Google,2,2026-06-04 10:19:57,kurang renposnsip kadang mau kadang ga mau uda berhasil tapi di mesin pom belum berhasil,Negatif,kurang renposnsip kadang mau kadang tidak mau uda hasil tapi mesin pom belum hasil
Pengguna Google,1,2026-06-04 10:18:43,gak jelas blas cara reset pin?????,Negatif,gak jelas blas cara reset pin
Pengguna Google,2,2026-06-04 10:09:14,ribet dan tdk semua SPBU bs digunakan,Negatif,ribet tidak semua spbu bs guna
Pengguna Google,5,2026-06-04 08:23:09,ok,Positif,ok
Pengguna Google,1,2026-06-04 07:14:32,bukan jalur prioritas lagi,Negatif,bukan jalur prioritas lagi
Pengguna Google,5,2026-06-03 23:42:12,sangat baik,Positif,sangat baik
Pengguna Google,1,2026-06-03 20:26:32,"knapa tiap beberapa bulan barcode selalu tidak bisa dipakai/diblokir,,padahal beli Pertamina ga gratis tapi makin dipersulit aja..",Negatif,knapa tiap beberapa bulan barcode selalu tidak bisa dipakaidiblokirpadahal beli pertamina tidak gratis tapi makin sulit aja
Pengguna Google,5,2026-06-03 20:26:15,mantap,Positif,mantap
Pengguna Google,4,2026-06-03 18:42:21,cukup bagus buat kita semua pengendara,Positif,cukup bagus buat kita semua kendara
Pengguna Google,4,2026-06-03 17:16:31,"Aplikasi berjalan cukup baik, metode pembayaran tolong ditambah seperti DANA atau Shopeepay",Positif,aplikasi jalan cukup baik metode bayar tolong tambah seperti dana atau shopeepay
Pengguna Google,5,2026-06-03 16:56:05,ok,Positif,ok
Pengguna Google,5,2026-06-03 16:46:09,ok,Positif,ok
Pengguna Google,4,2026-06-03 16:35:13,A yg www,Positif,a www
Pengguna Google,5,2026-06-03 16:01:14,mantap,Positif,mantap
Pengguna Google,5,2026-06-03 15:32:04,lebih mudah,Positif,lebih mudah
Pengguna Google,5,2026-06-03 15:29:17,tolong yang pertalite juga dapat poin. selama pakai aplikasi gak pernah dapat poin,Positif,tolong pertalite juga dapat poin lama pakai aplikasi gak pernah dapat poin
Pengguna Google,1,2026-06-03 14:57:43,woy susah sekali verifikasi,Negatif,woy susah sekali verifikasi
Pengguna Google,1,2026-06-03 14:15:03,ga jelas.,Negatif,tidak jelas
Pengguna Google,5,2026-06-03 13:41:24,mantaaaaap membantu ojooool paaaaak,Positif,mantaaaaap bantu ojooool paaaaak
Pengguna Google,5,2026-06-03 13:08:49,Baru bisa dftar.. smoga bisa nih,Positif,baru bisa dftar smoga bisa nih
Pengguna Google,1,2026-06-03 12:18:39,"payah daftar ulang barkot ditolak trus, pemerintah menyusahkan saja untuk beli bbm.",Negatif,payah daftar ulang barkot tolak trus perintah susah saja beli bbm
Pengguna Google,5,2026-06-03 11:47:56,sangat membantu terima ksh buat kabehan e👍👍👍,Positif,sangat bantu terima ksh buat kabehan e
